Symbol,Ebitda,Revenuegrowth,Fulltimeemployees,Weight,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Score
PPG,2184999936.0,0.11,49300.0,0.0009462090651355,9.3,7.3,7.7,1.0
DD,4099000064.0,0.139,28000.0,0.0009436666729645,13.4,7.4,8.1,3.0
GLW,3868999936.0,0.119,61200.0,0.0009415773624598,7.0,7.0,5.0,2.0
VRSK,1383399936.0,0.074,9367.0,0.0009313461627696,0.1,5.7,13.5,1.0
ES,3180729088.0,0.111,9227.0,0.0009271452304307,5.0,6.0,8.0,2.0
CMI,2968999936.0,0.003,59900.0,0.0009234145821166,5.8,6.1,7.5,2.0
LVS,181250000.0,-0.212,44500.0,0.00092205068084,1.3,8.6,7.8,2.0
ENPH,259260992.0,0.462,2260.0,0.0009206228850892,,,,
LYB,9164000256.0,0.449,19100.0,0.0009161270551769,17.0,6.0,2.0,2.0
NDAQ,1908499968.0,-0.071,5814.0,0.0009135683013642,1.8,5.3,4.6,1.0
DFS,,-0.13,16700.0,0.0009102803874332,0.0,11.0,12.0,2.0
EBAY,3460000000.0,0.054,10800.0,0.0009025876996829,1.0,7.0,9.0,2.0
MTD,1073793024.0,0.106,15600.0,0.000897015364287,1.0,5.0,7.0,0.0
CPRT,1424189056.0,0.406,8600.0,0.0008961522715208,1.6,5.4,11.0,1.0
KEYS,1420999936.0,0.059,14300.0,0.0008742235974299,2.0,5.0,2.0,1.0
AVB,1423403008.0,0.114,2839.0,0.0008716763549698,3.0,5.0,3.0,1.0
EQR,1482367488.0,0.093,2400.0,0.0008708629938339,3.0,5.0,3.0,1.0
ROST,2693531904.0,0.181,100000.0,0.0008698186942695,1.8,5.7,8.4,2.0
FAST,1467699968.0,0.203,18958.0,0.0008665163588124,10.7,7.1,8.7,2.0
CBRE,2168796928.0,0.237,105000.0,0.0008631846629391,1.0,3.0,2.0,1.0
AWK,1927000064.0,-0.052,6400.0,0.0008630849409965,9.0,5.0,8.0,1.0
AMP,4654499840.0,0.09,12000.0,0.000853549402095,2.6,12.8,7.2,2.0
AME,1600781952.0,0.254,18500.0,0.0008482881319025,8.6,6.9,8.5,1.0
TROW,3990299904.0,0.02,7529.0,0.000847725692386,2.0,5.0,9.0,1.0
DHI,6624000000.0,0.241,11788.0,0.0008461322107618,9.4,5.7,6.7,2.0
OKE,3193086976.0,1.109,2847.0,0.000845455175083,12.0,3.0,11.0,1.0
ALB,1017600000.0,0.36,6000.0,0.0008324477992903,16.0,8.0,6.0,2.0
WY,4402999808.0,0.242,9200.0,0.0008299801015704,10.0,4.0,3.0,2.0
HRL,1439666944.0,0.237,20000.0,0.0008249515805811,13.2,6.0,10.7,3.0
APTV,1980000000.0,-0.019,155000.0,0.0008220945016574,2.0,5.0,4.0,1.0
ARE,1446306944.0,0.257,559.0,0.0008065495839827,3.9,6.3,3.7,0.0
ROK,1386800000.0,0.187,24500.0,0.0008038574795567,5.4,5.7,6.6,2.0
HAL,2814000128.0,0.241,40000.0,0.000792562967169,8.9,6.3,8.6,2.0
ON,1981799936.0,0.276,30000.0,0.0007924690009028,15.0,5.0,6.0,1.0
K,2488999936.0,-0.013,31000.0,0.0007853704412239,7.4,4.6,14.9,2.0
GWW,1939000064.0,0.183,22700.0,0.0007801969935983,3.4,5.7,5.5,1.0
LEN,5984159744.0,0.165,10753.0,0.000775374124864,8.9,5.5,8.8,2.0
STT,,0.041,39335.0,0.0007734406703137,2.0,9.0,11.0,2.0
DTE,2692999936.0,0.278,10400.0,0.0007723212236044,15.0,5.0,10.0,2.0
EIX,5143000064.0,0.055,13003.0,0.0007584192605021,11.0,6.0,11.0,3.0
EXR,1107001984.0,0.211,4309.0,0.0007573124892149,4.0,6.0,4.0,1.0
CTRA,2364999936.0,4.191,936.0,0.0007565905075244,24.1,8.8,13.1,2.0
LH,3680699904.0,-0.063,75000.0,0.000746181722585,0.1,7.1,11.6,2.0
EFX,1676199936.0,0.124,13000.0,0.0007443042080348,0.0,7.0,19.0,4.0
CHD,1170700032.0,0.047,5100.0,0.0007438057276631,7.0,7.0,7.0,2.0
LUV,1017000000.0,1.288,58865.0,0.0007401753186557,11.3,6.2,14.9,2.0
WST,897800000.0,0.074,10065.0,0.0007330256045952,,,,
CDW,1664499968.0,0.117,13900.0,0.0007290112467078,2.0,4.0,3.0,0.0
AEE,2620999936.0,0.166,9116.0,0.0007272268577071,14.1,5.5,9.9,2.0
MKC,1247800064.0,0.028,14000.0,0.0007163061409277,10.1,5.2,11.3,2.0
FITB,,-0.137,19247.0,0.000714441107788,1.4,7.4,8.7,2.0
ZBH,2370050048.0,-0.133,19500.0,0.0007125833177466,4.0,8.0,15.0,2.0
ETR,4030413056.0,0.012,12500.0,0.0007062338367063,16.3,6.4,6.8,2.0
FE,3692000000.0,0.096,12395.0,0.0007038176813912,13.0,6.8,9.7,3.0
ANSS,626179008.0,0.051,5100.0,0.0006991378638482,1.0,5.0,7.0,0.0
STE,1068353984.0,0.495,13000.0,0.0006931570694451,,,,
HIG,4036000000.0,0.018,18100.0,0.0006917067683531,2.0,9.0,6.0,1.0
MTB,,-0.051,22000.0,0.000689988795977,2.0,11.0,13.0,1.0
FANG,4376000000.0,1.63,870.0,0.0006766841298017,,,,
WAT,958425024.0,0.063,7800.0,0.0006729212108979,1.4,6.2,9.4,0.0
BKR,2769999872.0,0.011,55000.0,0.0006675532990172,,,,
PPL,2603000064.0,0.083,5607.0,0.0006647068260589,19.7,5.8,8.3,2.0
VTR,1537922048.0,0.061,434.0,0.000663650174425,2.8,5.7,4.3,0.0
TSCO,1671497984.0,0.083,46000.0,0.0006599988768395,3.0,4.0,7.0,2.0
FTV,1319200000.0,0.093,18000.0,0.000659222830594,16.0,5.0,14.0,1.0
ULTA,1561005056.0,0.241,16500.0,0.0006575966256863,4.0,4.0,7.0,2.0
VMC,1405500032.0,0.367,11912.0,0.0006545948141379,15.6,8.9,4.6,2.0
VICI,1437027968.0,0.027,105.0,0.0006530126498547,,,,
IT,1148030976.0,0.174,16600.0,0.0006498986996238,0.0,6.0,15.0,1.0
MLM,1483600000.0,0.265,10000.0,0.0006471772994521,19.0,9.0,5.0,2.0
GPC,1667291008.0,0.186,52000.0,0.0006419019957567,4.0,4.0,5.0,2.0
LYV,-9524000.0,10.387,10200.0,0.0006369153812647,,,,
MAA,1036393024.0,0.12,2429.0,0.0006315313017538,5.5,5.4,3.7,1.0
URI,2891000064.0,0.227,20400.0,0.0006314235606668,5.9,6.0,6.6,1.0
ALGN,1061756032.0,0.088,23625.0,0.0006267468473088,,,,
NTRS,,0.064,21700.0,0.0006249852870018,1.9,10.2,11.8,2.0
AMCR,2098000000.0,0.13,46000.0,0.0006245344688037,,,,
GRMN,1356657024.0,0.094,18700.0,0.0006224855127038,5.4,5.3,7.9,2.0
VRSN,929443008.0,0.072,902.0,0.0006218192770019,4.7,5.9,10.8,1.0
RF,,-0.066,19723.0,0.0006207073967436,1.6,7.4,7.0,2.0
DAL,1351000064.0,1.253,83000.0,0.0006192338142643,10.0,5.0,11.0,2.0
MPWR,297340992.0,0.444,2773.0,0.0006143799036802,,,,
RJF,,0.101,15000.0,0.0006135732036079,1.2,12.4,10.4,2.0
CF,3126000128.0,1.305,2970.0,0.0006122397621465,16.8,5.5,7.7,1.0
MTCH,929139968.0,0.237,2500.0,0.0006118805820758,,,,
CMS,2287000064.0,0.177,8504.0,0.0006099805621845,9.8,5.7,5.8,2.0
CNP,2472999936.0,0.127,9418.0,0.0006056676205042,10.6,5.4,9.6,2.0
PWR,1052832000.0,0.347,43700.0,0.0005997264691301,12.0,9.0,16.0,2.0
HBAN,,0.141,19722.0,0.0005997204547717,2.0,7.6,10.8,2.0
FOX,2990000128.0,0.087,9000.0,0.0005936372222641,,,,
FOXA,2990000128.0,0.087,9000.0,0.0005932506218928,,,,
SWK,2386599936.0,0.195,71300.0,0.0005923471100513,5.8,7.6,12.5,2.0
TDY,1179750016.0,0.64,14500.0,0.0005894031786187,,,,
CTLT,1116000000.0,0.336,17300.0,0.0005818124762791,,,,
MOS,3519699968.0,0.563,12525.0,0.0005808524424028,14.4,8.7,11.1,2.0
DOV,1597180032.0,0.099,25000.0,0.0005784730846138,7.1,5.8,12.4,1.0
CINF,2694000128.0,-0.454,5166.0,0.0005781455930982,1.8,12.8,11.0,1.0
IR,1044499968.0,0.164,16000.0,0.0005751815491337,,,,
PAYC,284288992.0,0.29,5385.0,0.0005741534171994,,,,
BR,1116899968.0,0.194,13704.0,0.0005703698683995,0.8,6.4,9.0,2.0
MOH,1212000000.0,0.194,14000.0,0.000569243049251,,,,
CLX,933000000.0,-0.082,9000.0,0.0005634868555654,6.3,5.6,9.2,2.0
MRO,3308999936.0,1.091,1531.0,0.000563223517206,23.9,8.0,10.1,2.0
HPE,4837000192.0,0.019,60400.0,0.0005628230773433,1.0,6.0,5.0,2.0
ROL,538916992.0,0.103,16482.0,0.00056277295769,2.0,7.0,11.0,1.0
ESS,1040460032.0,0.083,1739.0,0.0005625160863827,3.5,6.1,2.7,1.0
VFC,1857988992.0,0.22,27200.0,0.0005621055579188,1.0,5.0,7.0,2.0
JBHT,1730993280.0,0.332,33045.0,0.0005619411654557,3.0,4.9,6.0,1.0
EPAM,628203008.0,0.531,58824.0,0.0005609771220072,,,,
FLT,1477127040.0,0.3,9700.0,0.0005580122373259,2.9,6.2,9.1,2.0
INCY,659659008.0,0.093,2094.0,0.000556897058871,1.5,7.1,15.6,1.0
HOLX,2474400000.0,-0.066,6705.0,0.0005562218339668,4.8,10.2,13.3,1.0
ZBRA,1198000000.0,0.122,9800.0,0.0005517761883785,,,,
BRO,1038046976.0,0.11,12023.0,0.0005501706133669,0.2,10.7,10.6,1.0
SYF,,0.011,18000.0,0.0005486723267488,0.1,7.2,9.9,2.0
BBY,3879000064.0,-0.034,57750.0,0.0005470089362919,2.2,4.8,7.2,2.0
SWKS,2003200000.0,0.0,11000.0,0.000537237770349,11.6,7.2,8.9,1.0
PFG,2358899968.0,0.087,18600.0,0.0005351062623297,0.7,9.9,6.7,1.0
J,1392374016.0,0.0,52000.0,0.0005346828644322,5.3,5.6,11.5,3.0
STX,2537999872.0,0.026,40000.0,0.0005342299444421,1.6,5.3,3.8,1.0
EXPD,1960637952.0,0.81,19070.0,0.0005287285849425,3.8,4.6,7.3,2.0
KEY,,-0.125,17262.0,0.0005192112831277,2.0,10.0,11.0,1.0
DGX,2703000064.0,-0.04,50000.0,0.0005159845475091,0.1,8.2,12.7,3.0
CAH,2564000000.0,0.094,44000.0,0.0005143121031793,2.0,5.0,6.0,3.0
WAB,1454000000.0,0.053,25000.0,0.0005132999771988,4.5,7.0,11.7,1.0
CAG,2053400064.0,0.051,18600.0,0.000512283841646,11.0,4.9,15.9,2.0
IP,2830000128.0,0.14,38000.0,0.0005109175798953,14.3,4.9,4.5,3.0
TRMB,773200000.0,0.116,11931.0,0.0005083059579321,3.2,6.1,3.7,0.0
TER,1290791936.0,-0.034,6000.0,0.0005052019022908,6.3,4.6,4.9,0.0
BIO,730390976.0,-0.037,7900.0,0.0005049270849141,1.0,7.0,8.0,1.0
CFG,,-0.087,17463.0,0.0004927079780953,2.0,11.4,10.1,2.0
SEDG,248024000.0,0.541,3964.0,0.0004916911635021,,,,
NTAP,1363000064.0,0.098,11000.0,0.0004872563178906,2.6,6.0,6.9,1.0
ATO,1358946944.0,0.107,4684.0,0.0004871432091503,14.8,6.5,13.4,2.0
COO,924499968.0,0.157,12000.0,0.0004849808209575,2.7,6.0,10.8,2.0
FDS,563214976.0,0.1,10784.0,0.0004836690764557,2.9,6.6,10.9,1.0
XYL,827000000.0,-0.036,16100.0,0.0004835510204206,4.0,5.0,7.0,1.0
LKQ,1748593024.0,0.056,46000.0,0.0004802002467437,3.3,3.3,4.0,2.0
NVR,1914795776.0,0.165,6600.0,0.0004794984422556,7.2,5.3,7.8,1.0
EVRG,2272000000.0,0.025,4930.0,0.0004790312300805,,,,
TTWO,838025984.0,0.049,6495.0,0.0004773186576928,,,,
DRI,1486899968.0,0.413,156883.0,0.0004717522396495,8.4,4.6,15.0,2.0
KMX,1804792960.0,0.47,32647.0,0.0004713311698908,0.1,4.0,8.0,2.0
HWM,1127000064.0,0.038,19900.0,0.0004698718472612,,,,
JKHY,500023008.0,0.169,6714.0,0.0004693112508546,0.8,5.2,9.4,0.0
EXPE,488000000.0,1.477,14800.0,0.0004676244496693,2.1,9.8,13.8,2.0
IEX,801699968.0,0.152,7500.0,0.000467234745113,8.1,5.7,13.0,0.0
CPB,1719000064.0,-0.031,14100.0,0.0004668769877938,11.0,4.0,8.0,2.0
AKAM,1206779008.0,0.072,9180.0,0.0004664647132258,2.9,6.7,6.9,1.0
TYL,344784000.0,0.547,6959.0,0.0004643508925939,,,,
LNT,1495000064.0,0.185,3313.0,0.0004636722401521,10.0,6.2,5.7,1.0
L,3120999936.0,-0.004,10340.0,0.0004635781445448,0.6,11.6,4.3,2.0
GNRC,828640000.0,0.402,8955.0,0.0004624934582403,,,,
WDC,3615000064.0,0.059,65600.0,0.000461999504805,1.5,6.1,3.9,1.0
TECH,332496000.0,0.201,2700.0,0.0004598938326587,,,,
LDOS,1488000000.0,0.073,43000.0,0.0004587088423769,1.3,5.4,5.0,2.0
PEAK,1002475008.0,0.119,196.0,0.0004553516986538,3.0,4.0,2.0,0.0
OMC,2327099904.0,-0.005,71700.0,0.0004548763703284,0.1,6.9,9.3,1.0
UDR,804448000.0,0.184,1219.0,0.0004505758777232,3.2,5.2,4.0,1.0
AVY,1280999936.0,0.145,36000.0,0.0004490613588044,10.6,3.7,1.1,1.0
SJM,1576400000.0,-0.009,7100.0,0.0004467188955474,12.4,6.2,12.4,2.0
DPZ,809545024.0,0.028,7400.0,0.0004440523683123,7.7,6.6,16.7,2.0
TXT,1318000000.0,0.042,33000.0,0.0004435198065763,11.1,6.5,16.2,2.0
MGM,1714420992.0,1.185,52000.0,0.000443219573685,2.0,10.5,13.0,2.0
BXP,1675122048.0,0.118,743.0,0.0004356975837734,3.0,5.0,5.0,1.0
CPT,684422976.0,0.173,1700.0,0.0004356606245709,4.5,7.3,4.1,1.0
POOL,968979008.0,0.332,5500.0,0.0004343849662195,,,,
FMC,1324199936.0,0.227,6400.0,0.0004314259665556,16.0,7.0,9.0,2.0
IRM,1591216000.0,0.153,25000.0,0.0004280863808788,5.0,6.0,3.7,2.0
MAS,1160000000.0,0.117,20000.0,0.0004247676837801,9.4,7.2,5.8,1.0
AES,3476000000.0,0.082,8450.0,0.0004247381616875,16.5,6.5,11.2,2.0
CBOE,1011500032.0,-0.036,1196.0,0.0004212080243221,2.7,10.6,7.6,1.0
PTC,507324000.0,0.094,6709.0,0.0004141943447013,4.9,5.4,8.6,0.0
KIM,930347008.0,0.513,606.0,0.0004120781959307,3.7,5.5,2.9,0.0
PKG,1836099968.0,0.182,15200.0,0.0004107301065963,11.6,3.8,1.4,1.0
CHRW,1267657984.0,0.419,17258.0,0.0004098494881191,5.0,6.0,9.0,1.0
NDSN,760622976.0,0.157,7100.0,0.0003992311706934,9.3,5.6,11.8,1.0
TAP,2316000000.0,0.142,16300.0,0.0003990758321033,7.0,5.6,8.7,2.0
EMN,2308999936.0,0.127,14000.0,0.0003940880535419,12.0,7.0,5.0,2.0
BEN,2523099904.0,0.115,10400.0,0.0003940746990794,1.0,7.0,10.0,2.0
CE,2627000064.0,0.412,8500.0,0.0003938759989053,15.1,6.5,7.7,2.0
TFX,794417024.0,0.012,14000.0,0.0003885085073829,5.0,9.0,16.0,2.0
HST,545000000.0,2.776,160.0,0.0003819524687003,3.0,5.0,6.0,1.0
VTRS,6180800000.0,0.198,37000.0,0.0003788387771514,,,,
ETSY,546702976.0,0.162,2402.0,0.0003735185921148,,,,
CRL,899926976.0,0.144,18600.0,0.0003708633175503,,,,
SNA,1265400064.0,0.065,12800.0,0.0003651303082463,9.3,7.6,13.9,1.0
NI,1739100032.0,0.163,7272.0,0.0003620976488596,14.0,5.0,10.0,3.0
UAL,-415000000.0,1.349,87400.0,0.0003613509306951,10.9,5.0,12.9,2.0
IPG,1745149952.0,0.098,55600.0,0.0003569732538237,0.0,5.3,5.1,1.0
WRB,1976933504.0,0.352,7681.0,0.0003544712483927,2.0,12.0,7.9,1.0
AAP,1096417024.0,0.013,41000.0,0.0003501681366315,0.0,3.0,8.0,2.0
QRVO,1644587008.0,0.017,8400.0,0.0003473247031877,13.0,7.0,8.0,0.0
LW,597800000.0,0.066,7800.0,0.0003466254855204,,,,
PHM,2780272128.0,0.168,6182.0,0.0003421841081864,8.7,4.9,7.3,2.0
HSIC,1057736000.0,0.052,21600.0,0.0003396325004662,2.0,6.0,6.0,2.0
WRK,2893199872.0,0.125,50000.0,0.0003382038316633,,,,
HAS,1125200000.0,0.043,6640.0,0.0003377648805057,0.0,4.0,3.0,2.0
REG,771222976.0,0.151,432.0,0.0003355790815844,4.0,4.0,3.0,0.0
WHR,2615000064.0,-0.082,69000.0,0.0003229328906485,5.0,4.0,7.0,2.0
GL,1006352000.0,0.033,3222.0,0.0003209380961095,2.0,11.0,8.0,1.0
CMA,,-0.206,7484.0,0.0003175583177042,2.0,13.0,11.0,2.0
NWS,1268000000.0,0.126,24000.0,0.0003147340267344,,,,
NWSA,1268000000.0,0.126,24000.0,0.0003132547209141,0.0,7.0,5.0,2.0
CCL,-4011000064.0,61.423,40000.0,0.0003128992270631,10.0,3.8,9.9,3.0
AIZ,1088800000.0,0.067,15600.0,0.000309350367582,2.0,11.0,12.0,3.0
FFIV,538963008.0,-0.017,6396.0,0.0003080203859934,1.0,5.0,12.0,1.0
MKTX,372360992.0,-0.048,689.0,0.0003078434797846,,,,
ALLE,599200000.0,0.042,11000.0,0.0002908554394457,13.0,6.0,5.0,0.0
AOS,720800000.0,0.271,13700.0,0.0002908485197,7.0,6.0,12.0,0.0
FTNT,730200000.0,0.288,10195.0,0.0002904650558489,1.2,5.7,12.2,1.0
JNPR,692800000.0,0.087,10385.0,0.0002882331791819,2.0,6.0,9.0,1.0
MHK,1942487808.0,0.13,43000.0,0.0002849968723262,6.0,4.0,4.0,2.0
TPR,1454499968.0,0.27,12100.0,0.0002825435637971,1.0,5.0,7.0,2.0
NRG,4703000064.0,2.476,6635.0,0.0002811129872139,17.0,6.0,9.0,2.0
LNC,2051000064.0,0.113,10848.0,0.000279952086701,2.0,10.0,6.0,2.0
UHS,1877097984.0,0.093,89000.0,0.0002775659061722,4.0,9.0,21.0,3.0
SEE,1060499968.0,0.142,16500.0,0.0002771492016736,16.0,3.0,2.0,2.0
BWA,2220999936.0,-0.069,49300.0,0.0002760512579124,3.0,6.0,4.0,2.0
DVA,2451047936.0,0.013,69000.0,0.0002753417899676,0.0,8.0,14.0,2.0
AAL,-1136999936.0,1.22,127000.0,0.0002746006658031,12.0,5.0,12.0,2.0
CZR,2832999936.0,0.635,49000.0,0.0002720422353429,,,,
BBWI,2372000000.0,0.114,8800.0,0.0002701890207408,3.0,4.0,8.0,2.0
RCL,-2495454976.0,27.773,84900.0,0.0002664704819817,9.0,4.0,8.0,3.0
HII,961000000.0,-0.029,44000.0,0.0002663377942414,,,,
NWL,1390000000.0,0.044,32000.0,0.0002658396210546,6.0,3.0,4.0,2.0
RHI,915192768.0,0.298,14600.0,0.0002651399183584,0.0,3.0,7.0,1.0
OGN,2012000000.0,-0.006,9300.0,0.0002634122292365,,,,
ZION,,-0.15,9724.0,0.0002605722880008,,,,
PNW,1636992000.0,0.078,5872.0,0.0002574641096139,15.0,6.0,10.0,1.0
DXCM,361100000.0,0.245,6300.0,0.0002531070626386,5.0,8.0,10.0,0.0
PNR,716600000.0,0.154,11250.0,0.0002510265634923,7.0,6.0,10.0,1.0
FRT,577539008.0,0.171,310.0,0.0002481691288808,2.0,6.0,4.0,1.0
XRAY,986000000.0,0.006,15000.0,0.0002473359947333,2.0,7.0,7.0,1.0
CDAY,11100000.0,0.266,7462.0,0.0002449053047187,,,,
IVZ,1949600000.0,-0.018,8549.0,0.0002442335881903,1.0,10.0,10.0,2.0
DXC,1922000000.0,-0.046,134000.0,0.0002428544570061,1.0,5.0,10.0,2.0
WYNN,335859008.0,0.519,26950.0,0.0002236959769945,4.0,11.0,12.0,3.0
RL,1043900032.0,0.267,12100.0,0.0002106815359474,1.0,5.0,7.0,2.0
ALK,879000000.0,0.741,22092.0,0.0001697166737992,,,,
NCLH,-1794136960.0,49.886,34700.0,0.0001471776231685,12.0,4.0,10.0,2.0
